"mt.MT","Arbutus-Ridge ","Downtown ","Dunbar-Southlands ","Fairview ","Grandview-Woodland ","Hastings-Sunrise ","Kensington-Cedar Cottage ","Kerrisdale ","Killarney ","Kitsilano ","Marpole ","Mount Pleasant ","Oakridge ","Renfrew-Collingwood ","Riley Park ","Shaughnessy ","South Cambie ","Strathcona ","Sunset ","Vancouver CMA ","Vancouver CSD ","Victoria-Fraserview","West End ","West Point Grey "
"            Finnish","5","20","10","10","5","15","10","0","15","15","10","10","0","0","5","0","0","0","5","770","175","30","10","5"
"            Fijian","0","0","5","0","0","0","0","0","5","0","0","0","0","5","0","0","0","0","5","190","25","5","0","0"
"            Ewe","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30","5","0","0","0"
"            Estonian","5","10","0","5","0","0","0","0","0","10","0","5","0","0","0","0","0","0","5","195","50","0","5","0"
"            Edo","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","45","5","0","0","0"
"            Eastern Algonquian languages","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"            Dravidian languages, n.i.e.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","10","0","0","0"
"            Dinka","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","5","0","50","5","0","0","0"
"            Dakota","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","10","0","0","0"
"            Cushitic languages","0","20","0","0","5","5","5","0","0","0","5","15","0","10","0","0","0","10","20","675","120","5","5","0"
"            Creole, n.o.s.","0","5","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","5","180","30","0","10","5"
"            Creole languages, n.i.e.","0","0","0","0","0","5","0","0","0","0","0","5","5","0","0","0","0","5","5","120","20","0","0","0"
"            Cree-Montagnais languages","0","15","0","0","10","0","0","0","0","0","0","10","0","0","0","0","0","10","5","105","65","5","5","0"
"            Comox","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"            Chinese languages","2610","3015","2360","970","1210","4945","5795","2205","4395","910","4090","1020","2755","8155","1705","1190","675","1150","3085","175990","60275","6115","860","1090"
"            Celtic languages","0","10","0","5","5","0","10","0","0","5","0","5","0","0","0","0","0","0","0","165","75","0","20","0"
"            Cebuano","0","5","0","0","10","25","65","0","40","5","15","15","0","45","10","0","5","5","35","1280","315","30","10","0"
"            Cayuga","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"            Blackfoot","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0"
"            Bikol","0","5","0","5","0","0","0","0","10","0","0","0","0","5","0","0","0","0","10","135","40","5","0","0"
"            Berber languages","0","0","0","0","5","0","0","0","0","5","0","0","0","5","0","0","0","0","0","55","20","5","0","0"
"            Bamanankan","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0"
"            Balto-Slavic languages","105","1385","130","510","260","220","260","80","295","455","300","335","100","340","140","40","60","85","110","26950","6665","120","1235","115"
"            Azerbaijani","0","20","0","0","0","0","0","0","0","5","0","5","0","0","0","0","0","5","0","275","55","0","10","0"
"            Austronesian languages, n.i.e.","0","5","0","0","5","5","50","0","5","0","0","5","0","35","0","0","0","5","25","360","155","15","0","0"
"            Austro-Asiatic languages, n.i.e","0","0","0","5","0","5","0","0","0","0","0","0","0","5","0","0","0","0","5","15","15","0","0","0"
"            Athabaskan languages, n.i.e.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","0","0","0"
"            Armenian","10","15","5","5","5","10","10","0","5","10","25","0","0","5","15","0","0","5","5","520","160","0","25","10"
"            American Sign Language","5","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","5","130","20","0","0","0"
"            Algonquian languages, n.i.e.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"            Albanian","0","0","0","10","0","10","0","0","0","5","5","0","0","10","0","0","0","0","5","560","65","5","5","0"
"            Akan (Twi)","0","0","0","0","0","0","0","0","5","0","5","5","0","5","0","0","0","0","5","220","25","0","0","0"
"            Afro-Asiatic languages, n.i.e.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","5","0","0","0"
"              Yiddish","5","5","5","5","5","0","0","0","0","5","0","5","10","0","0","0","10","0","0","110","65","0","5","5"
"              Wu (Shanghainese)","35","45","20","10","10","20","20","20","30","15","60","10","30","70","15","15","0","10","15","1905","525","25","15","25"
"              Woods Cree","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","5","0","0","0"
"              Welsh","0","5","0","5","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","65","20","0","5","0"
"              Vlaams (Flemish)","0","10","0","5","0","0","0","5","0","10","0","5","0","5","5","0","0","0","0","100","40","0","5","5"
"              Tutchone languages","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"              Tigrigna","0","10","0","0","10","5","5","0","5","0","5","15","0","10","0","5","0","5","0","345","60","5","0","5"
"              Tibeto-Burman languages, n.i.e.","0","0","5","0","0","0","20","0","5","0","0","0","0","15","0","0","0","0","0","110","60","5","5","0"
"              Tibetan","0","5","0","0","0","0","0","0","0","0","5","5","0","5","5","0","5","0","5","135","35","0","0","5"
